Year,Country,ISO,Region_worldbank,IncomeGroup,CPIA Rating
2005,Spain,ESP,Europe & Central Asia,High income,
2005,Estonia,EST,Europe & Central Asia,High income,
2005,Ethiopia,ETH,Sub-Saharan Africa,Low income,2.5
2005,Finland,FIN,Europe & Central Asia,High income,
2005,Fiji,FJI,East Asia & Pacific,Upper middle income,
2005,France,FRA,Europe & Central Asia,High income,
2005,Faroe Islands,FRO,Europe & Central Asia,High income,
2005,"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,
2005,Gabon,GAB,Sub-Saharan Africa,Upper middle income,
2005,United Kingdom,GBR,Europe & Central Asia,High income,
2005,Georgia,GEO,Europe & Central Asia,Upper middle income,3.5
2005,Ghana,GHA,Sub-Saharan Africa,Lower middle income,3.5
2005,Gibraltar,GIB,Europe & Central Asia,High income,
2005,Guinea,GIN,Sub-Saharan Africa,Low income,2.5
2005,"Gambia, The",GMB,Sub-Saharan Africa,Low income,2.0
2005,Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2.5
2005,Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,
2005,Greece,GRC,Europe & Central Asia,High income,
2005,Grenada,GRD,Latin America & Caribbean,Upper middle income,4.0
2005,Greenland,GRL,Europe & Central Asia,High income,
2005,Guatemala,GTM,Latin America & Caribbean,Upper middle income,
2005,Guam,GUM,East Asia & Pacific,High income,
2005,Guyana,GUY,Latin America & Caribbean,Upper middle income,3.0
2005,"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,
2005,Honduras,HND,Latin America & Caribbean,Lower middle income,3.0
2005,Croatia,HRV,Europe & Central Asia,High income,
2005,Haiti,HTI,Latin America & Caribbean,Lower middle income,2.0
2005,Hungary,HUN,Europe & Central Asia,High income,
2005,Indonesia,IDN,East Asia & Pacific,Lower middle income,3.0
2005,Isle of Man,IMN,Europe & Central Asia,High income,
2005,India,IND,South Asia,Lower middle income,3.5
2005,Ireland,IRL,Europe & Central Asia,High income,
2005,"Iran, Islamic Rep.",IRN,Middle East & North Africa,Lower middle income,
2005,Iraq,IRQ,Middle East & North Africa,Upper middle income,
2005,Iceland,ISL,Europe & Central Asia,High income,
2005,Israel,ISR,Middle East & North Africa,High income,
2005,Italy,ITA,Europe & Central Asia,High income,
2005,Jamaica,JAM,Latin America & Caribbean,Upper middle income,
2005,Jordan,JOR,Middle East & North Africa,Upper middle income,
2005,Japan,JPN,East Asia & Pacific,High income,
2005,Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,
2005,Kenya,KEN,Sub-Saharan Africa,Lower middle income,3.0
2005,Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2.5
2005,Cambodia,KHM,East Asia & Pacific,Lower middle income,2.5
2005,Kiribati,KIR,East Asia & Pacific,Lower middle income,3.5
2005,St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,
2005,"Korea, Rep.",KOR,East Asia & Pacific,High income,
2005,Kuwait,KWT,Middle East & North Africa,High income,
2005,Lao PDR,LAO,East Asia & Pacific,Lower middle income,2.0
2005,Lebanon,LBN,Middle East & North Africa,Upper middle income,
2005,Liberia,LBR,Sub-Saharan Africa,Low income,
2005,Libya,LBY,Middle East & North Africa,Upper middle income,
2005,St. Lucia,LCA,Latin America & Caribbean,Upper middle income,4.5
2005,Liechtenstein,LIE,Europe & Central Asia,High income,
2005,Sri Lanka,LKA,South Asia,Lower middle income,3.5
2005,Lesotho,LSO,Sub-Saharan Africa,Lower middle income,3.5
2005,Lithuania,LTU,Europe & Central Asia,High income,
2005,Luxembourg,LUX,Europe & Central Asia,High income,
2005,Latvia,LVA,Europe & Central Asia,High income,
2005,"Macao SAR, China",MAC,East Asia & Pacific,High income,
2005,St. Martin (French part),MAF,Latin America & Caribbean,High income,
2005,Morocco,MAR,Middle East & North Africa,Lower middle income,
2005,Monaco,MCO,Europe & Central Asia,High income,
2005,Moldova,MDA,Europe & Central Asia,Upper middle income,3.0
2005,Madagascar,MDG,Sub-Saharan Africa,Low income,3.5
2005,Maldives,MDV,South Asia,Upper middle income,3.0
2005,Mexico,MEX,Latin America & Caribbean,Upper middle income,
2005,Marshall Islands,MHL,East Asia & Pacific,Upper middle income,
2005,North Macedonia,MKD,Europe & Central Asia,Upper middle income,
2005,Mali,MLI,Sub-Saharan Africa,Low income,3.5
2005,Malta,MLT,Middle East & North Africa,High income,
2005,Myanmar,MMR,East Asia & Pacific,Lower middle income,
2005,Montenegro,MNE,Europe & Central Asia,Upper middle income,
2005,Mongolia,MNG,East Asia & Pacific,Lower middle income,2.5
2005,Northern Mariana Islands,MNP,East Asia & Pacific,High income,
2005,Mozambique,MOZ,Sub-Saharan Africa,Low income,3.0
2005,Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2.5
2005,Mauritius,MUS,Sub-Saharan Africa,Upper middle income,
2005,Malawi,MWI,Sub-Saharan Africa,Low income,3.0
2005,Malaysia,MYS,East Asia & Pacific,Upper middle income,
2005,Namibia,NAM,Sub-Saharan Africa,Upper middle income,
2005,New Caledonia,NCL,East Asia & Pacific,High income,
2005,Niger,NER,Sub-Saharan Africa,Low income,3.0
2005,Nigeria,NGA,Sub-Saharan Africa,Lower middle income,3.0
2005,Nicaragua,NIC,Latin America & Caribbean,Lower middle income,3.5
2005,Netherlands,NLD,Europe & Central Asia,High income,
2005,Norway,NOR,Europe & Central Asia,High income,
2005,Nepal,NPL,South Asia,Lower middle income,2.5
2005,Nauru,NRU,East Asia & Pacific,High income,
2005,New Zealand,NZL,East Asia & Pacific,High income,
2005,Oman,OMN,Middle East & North Africa,High income,
2005,Pakistan,PAK,South Asia,Lower middle income,2.5
2005,Panama,PAN,Latin America & Caribbean,Upper middle income,
2005,Peru,PER,Latin America & Caribbean,Upper middle income,
2005,Philippines,PHL,East Asia & Pacific,Lower middle income,
2005,Palau,PLW,East Asia & Pacific,High income,
2005,Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,3.0
2005,Poland,POL,Europe & Central Asia,High income,
2005,Puerto Rico,PRI,Latin America & Caribbean,High income,
2005,"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Low income,
2005,Portugal,PRT,Europe & Central Asia,High income,
2005,Paraguay,PRY,Latin America & Caribbean,Upper middle income,
2005,West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,
2005,French Polynesia,PYF,East Asia & Pacific,High income,
2005,Qatar,QAT,Middle East & North Africa,High income,
2005,Romania,ROU,Europe & Central Asia,Upper middle income,
2005,Russian Federation,RUS,Europe & Central Asia,Upper middle income,
2005,Rwanda,RWA,Sub-Saharan Africa,Low income,3.0
2005,Saudi Arabia,SAU,Middle East & North Africa,High income,
2005,Sudan,SDN,Sub-Saharan Africa,Low income,2.0
2005,Senegal,SEN,Sub-Saharan Africa,Lower middle income,3.0
2005,Singapore,SGP,East Asia & Pacific,High income,
2005,Solomon Islands,SLB,East Asia & Pacific,Lower middle income,3.0
2005,Sierra Leone,SLE,Sub-Saharan Africa,Low income,2.5
2005,El Salvador,SLV,Latin America & Caribbean,Lower middle income,
2005,San Marino,SMR,Europe & Central Asia,High income,
2005,Somalia,SOM,Sub-Saharan Africa,Low income,
2005,Serbia,SRB,Europe & Central Asia,Upper middle income,3.0
2005,South Sudan,SSD,Sub-Saharan Africa,Low income,
2005,Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,3.5
2005,Suriname,SUR,Latin America & Caribbean,Upper middle income,
2005,Slovak Republic,SVK,Europe & Central Asia,High income,
2005,Slovenia,SVN,Europe & Central Asia,High income,
2005,Sweden,SWE,Europe & Central Asia,High income,
2005,Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,
2005,Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,
2005,Seychelles,SYC,Sub-Saharan Africa,High income,
2005,Syrian Arab Republic,SYR,Middle East & North Africa,Low income,
2005,Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,
2005,Chad,TCD,Sub-Saharan Africa,Low income,2.0
2005,Togo,TGO,Sub-Saharan Africa,Low income,2.0
2005,Thailand,THA,East Asia & Pacific,Upper middle income,
2005,Tajikistan,TJK,Europe & Central Asia,Lower middle income,2.0
2005,Turkmenistan,TKM,Europe & Central Asia,Upper middle income,
2005,Timor-Leste,TLS,East Asia & Pacific,Lower middle income,
2005,Tonga,TON,East Asia & Pacific,Upper middle income,2.0
2005,Trinidad and Tobago,TTO,Latin America & Caribbean,High income,
2005,Tunisia,TUN,Middle East & North Africa,Lower middle income,
2005,Turkey,TUR,Europe & Central Asia,Upper middle income,
2005,Tuvalu,TUV,East Asia & Pacific,Upper middle income,
2005,Tanzania,TZA,Sub-Saharan Africa,Lower middle income,3.5
2005,Uganda,UGA,Sub-Saharan Africa,Low income,3.0
2005,Ukraine,UKR,Europe & Central Asia,Lower middle income,
2005,Uruguay,URY,Latin America & Caribbean,High income,
2005,United States,USA,North America,High income,
2005,Uzbekistan,UZB,Europe & Central Asia,Lower middle income,1.5
2005,St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,4.0
2005,"Venezuela, RB",VEN,Latin America & Caribbean,,
2005,British Virgin Islands,VGB,Latin America & Caribbean,High income,
2005,Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,
2005,Vietnam,VNM,East Asia & Pacific,Lower middle income,3.0
2005,Vanuatu,VUT,East Asia & Pacific,Lower middle income,3.0
2005,Samoa,WSM,East Asia & Pacific,Lower middle income,4.0
2005,Kosovo,XKX,Europe & Central Asia,Upper middle income,
2005,"Yemen, Rep.",YEM,Middle East & North Africa,Low income,3.0
2005,South Africa,ZAF,Sub-Saharan Africa,Upper middle income,
2005,Zambia,ZMB,Sub-Saharan Africa,Lower middle income,3.0
2005,Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,1.5
2006,Aruba,ABW,Latin America & Caribbean,High income,
2006,Afghanistan,AFG,South Asia,Low income,2.5
2006,Angola,AGO,Sub-Saharan Africa,Lower middle income,2.5
2006,Albania,ALB,Europe & Central Asia,Upper middle income,2.5
2006,Andorra,AND,Europe & Central Asia,High income,
2006,United Arab Emirates,ARE,Middle East & North Africa,High income,
2006,Argentina,ARG,Latin America & Caribbean,Upper middle income,
2006,Armenia,ARM,Europe & Central Asia,Upper middle income,3.5
2006,American Samoa,ASM,East Asia & Pacific,Upper middle income,
2006,Antigua and Barbuda,ATG,Latin America & Caribbean,High income,
2006,Australia,AUS,East Asia & Pacific,High income,
2006,Austria,AUT,Europe & Central Asia,High income,
2006,Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2.5
2006,Burundi,BDI,Sub-Saharan Africa,Low income,2.5
2006,Belgium,BEL,Europe & Central Asia,High income,
2006,Benin,BEN,Sub-Saharan Africa,Lower middle income,3.5
2006,Burkina Faso,BFA,Sub-Saharan Africa,Low income,3.0
2006,Bangladesh,BGD,South Asia,Lower middle income,2.5
2006,Bulgaria,BGR,Europe & Central Asia,Upper middle income,
2006,Bahrain,BHR,Middle East & North Africa,High income,
2006,"Bahamas, The",BHS,Latin America & Caribbean,High income,
2006,Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,3.0
2006,Belarus,BLR,Europe & Central Asia,Upper middle income,
2006,Belize,BLZ,Latin America & Caribbean,Lower middle income,
2006,Bermuda,BMU,North America,High income,
2006,Bolivia,BOL,Latin America & Caribbean,Lower middle income,3.5
2006,Brazil,BRA,Latin America & Caribbean,Upper middle income,
2006,Barbados,BRB,Latin America & Caribbean,High income,
2006,Brunei Darussalam,BRN,East Asia & Pacific,High income,
2006,Bhutan,BTN,South Asia,Lower middle income,4.0
2006,Botswana,BWA,Sub-Saharan Africa,Upper middle income,
2006,Central African Republic,CAF,Sub-Saharan Africa,Low income,2.5
2006,Canada,CAN,North America,High income,
2006,Switzerland,CHE,Europe & Central Asia,High income,
2006,Channel Islands,CHI,Europe & Central Asia,High income,
2006,Chile,CHL,Latin America & Caribbean,High income,
2006,China,CHN,East Asia & Pacific,Upper middle income,
2006,Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2.0
2006,Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2.5
2006,"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2.0
2006,"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2.5
2006,Colombia,COL,Latin America & Caribbean,Upper middle income,
2006,Comoros,COM,Sub-Saharan Africa,Lower middle income,2.5
2006,Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,4.5
2006,Costa Rica,CRI,Latin America & Caribbean,Upper middle income,
2006,Cuba,CUB,Latin America & Caribbean,Upper middle income,
2006,Curacao,CUW,Latin America & Caribbean,High income,
2006,Cayman Islands,CYM,Latin America & Caribbean,High income,
2006,Cyprus,CYP,Europe & Central Asia,High income,
2006,Czech Republic,CZE,Europe & Central Asia,High income,
2006,Germany,DEU,Europe & Central Asia,High income,
2006,Djibouti,DJI,Middle East & North Africa,Lower middle income,2.5
2006,Dominica,DMA,Latin America & Caribbean,Upper middle income,4.0
2006,Denmark,DNK,Europe & Central Asia,High income,
2006,Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,
2006,Algeria,DZA,Middle East & North Africa,Lower middle income,
2006,Ecuador,ECU,Latin America & Caribbean,Upper middle income,
2006,"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,
2006,Eritrea,ERI,Sub-Saharan Africa,Low income,2.5
2006,Spain,ESP,Europe & Central Asia,High income,
2006,Estonia,EST,Europe & Central Asia,High income,
2006,Ethiopia,ETH,Sub-Saharan Africa,Low income,2.5
2006,Finland,FIN,Europe & Central Asia,High income,
2006,Fiji,FJI,East Asia & Pacific,Upper middle income,
2006,France,FRA,Europe & Central Asia,High income,
2006,Faroe Islands,FRO,Europe & Central Asia,High income,
2006,"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,
2006,Gabon,GAB,Sub-Saharan Africa,Upper middle income,
2006,United Kingdom,GBR,Europe & Central Asia,High income,
2006,Georgia,GEO,Europe & Central Asia,Upper middle income,3.5
2006,Ghana,GHA,Sub-Saharan Africa,Lower middle income,4.0
2006,Gibraltar,GIB,Europe & Central Asia,High income,
2006,Guinea,GIN,Sub-Saharan Africa,Low income,2.5
2006,"Gambia, The",GMB,Sub-Saharan Africa,Low income,2.0
2006,Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2.5
2006,Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,
2006,Greece,GRC,Europe & Central Asia,High income,
2006,Grenada,GRD,Latin America & Caribbean,Upper middle income,4.0
2006,Greenland,GRL,Europe & Central Asia,High income,
2006,Guatemala,GTM,Latin America & Caribbean,Upper middle income,
2006,Guam,GUM,East Asia & Pacific,High income,
2006,Guyana,GUY,Latin America & Caribbean,Upper middle income,3.0
2006,"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,
2006,Honduras,HND,Latin America & Caribbean,Lower middle income,3.0
2006,Croatia,HRV,Europe & Central Asia,High income,
2006,Haiti,HTI,Latin America & Caribbean,Lower middle income,2.0
2006,Hungary,HUN,Europe & Central Asia,High income,
2006,Indonesia,IDN,East Asia & Pacific,Lower middle income,3.0
2006,Isle of Man,IMN,Europe & Central Asia,High income,
2006,India,IND,South Asia,Lower middle income,3.5
2006,Ireland,IRL,Europe & Central Asia,High income,
2006,"Iran, Islamic Rep.",IRN,Middle East & North Africa,Lower middle income,
2006,Iraq,IRQ,Middle East & North Africa,Upper middle income,
2006,Iceland,ISL,Europe & Central Asia,High income,
2006,Israel,ISR,Middle East & North Africa,High income,
2006,Italy,ITA,Europe & Central Asia,High income,
2006,Jamaica,JAM,Latin America & Caribbean,Upper middle income,
2006,Jordan,JOR,Middle East & North Africa,Upper middle income,
2006,Japan,JPN,East Asia & Pacific,High income,
2006,Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,
2006,Kenya,KEN,Sub-Saharan Africa,Lower middle income,3.0
2006,Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2.5
2006,Cambodia,KHM,East Asia & Pacific,Lower middle income,2.5
2006,Kiribati,KIR,East Asia & Pacific,Lower middle income,3.5
2006,St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,
2006,"Korea, Rep.",KOR,East Asia & Pacific,High income,
2006,Kuwait,KWT,Middle East & North Africa,High income,
2006,Lao PDR,LAO,East Asia & Pacific,Lower middle income,2.0
2006,Lebanon,LBN,Middle East & North Africa,Upper middle income,
2006,Liberia,LBR,Sub-Saharan Africa,Low income,
2006,Libya,LBY,Middle East & North Africa,Upper middle income,
2006,St. Lucia,LCA,Latin America & Caribbean,Upper middle income,4.5
2006,Liechtenstein,LIE,Europe & Central Asia,High income,
2006,Sri Lanka,LKA,South Asia,Lower middle income,3.5
2006,Lesotho,LSO,Sub-Saharan Africa,Lower middle income,3.5
2006,Lithuania,LTU,Europe & Central Asia,High income,
2006,Luxembourg,LUX,Europe & Central Asia,High income,
2006,Latvia,LVA,Europe & Central Asia,High income,
2006,"Macao SAR, China",MAC,East Asia & Pacific,High income,
2006,St. Martin (French part),MAF,Latin America & Caribbean,High income,
2006,Morocco,MAR,Middle East & North Africa,Lower middle income,
2006,Monaco,MCO,Europe & Central Asia,High income,
2006,Moldova,MDA,Europe & Central Asia,Upper middle income,3.0
2006,Madagascar,MDG,Sub-Saharan Africa,Low income,3.5
2006,Maldives,MDV,South Asia,Upper middle income,2.5
2006,Mexico,MEX,Latin America & Caribbean,Upper middle income,
2006,Marshall Islands,MHL,East Asia & Pacific,Upper middle income,
2006,North Macedonia,MKD,Europe & Central Asia,Upper middle income,
2006,Mali,MLI,Sub-Saharan Africa,Low income,3.5
2006,Malta,MLT,Middle East & North Africa,High income,
2006,Myanmar,MMR,East Asia & Pacific,Lower middle income,
2006,Montenegro,MNE,Europe & Central Asia,Upper middle income,
2006,Mongolia,MNG,East Asia & Pacific,Lower middle income,2.5
2006,Northern Mariana Islands,MNP,East Asia & Pacific,High income,
2006,Mozambique,MOZ,Sub-Saharan Africa,Low income,3.0
2006,Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2.5
2006,Mauritius,MUS,Sub-Saharan Africa,Upper middle income,
2006,Malawi,MWI,Sub-Saharan Africa,Low income,3.0
2006,Malaysia,MYS,East Asia & Pacific,Upper middle income,
2006,Namibia,NAM,Sub-Saharan Africa,Upper middle income,
2006,New Caledonia,NCL,East Asia & Pacific,High income,
2006,Niger,NER,Sub-Saharan Africa,Low income,3.0
2006,Nigeria,NGA,Sub-Saharan Africa,Lower middle income,3.0
2006,Nicaragua,NIC,Latin America & Caribbean,Lower middle income,3.0
2006,Netherlands,NLD,Europe & Central Asia,High income,
2006,Norway,NOR,Europe & Central Asia,High income,
2006,Nepal,NPL,South Asia,Lower middle income,3.0
2006,Nauru,NRU,East Asia & Pacific,High income,
2006,New Zealand,NZL,East Asia & Pacific,High income,
2006,Oman,OMN,Middle East & North Africa,High income,
2006,Pakistan,PAK,South Asia,Lower middle income,2.5
2006,Panama,PAN,Latin America & Caribbean,Upper middle income,
2006,Peru,PER,Latin America & Caribbean,Upper middle income,
2006,Philippines,PHL,East Asia & Pacific,Lower middle income,
2006,Palau,PLW,East Asia & Pacific,High income,
2006,Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,3.0
2006,Poland,POL,Europe & Central Asia,High income,
2006,Puerto Rico,PRI,Latin America & Caribbean,High income,
2006,"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Low income,
2006,Portugal,PRT,Europe & Central Asia,High income,
2006,Paraguay,PRY,Latin America & Caribbean,Upper middle income,
2006,West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,
2006,French Polynesia,PYF,East Asia & Pacific,High income,
2006,Qatar,QAT,Middle East & North Africa,High income,
2006,Romania,ROU,Europe & Central Asia,Upper middle income,
2006,Russian Federation,RUS,Europe & Central Asia,Upper middle income,
2006,Rwanda,RWA,Sub-Saharan Africa,Low income,3.0
2006,Saudi Arabia,SAU,Middle East & North Africa,High income,
2006,Sudan,SDN,Sub-Saharan Africa,Low income,2.0
2006,Senegal,SEN,Sub-Saharan Africa,Lower middle income,3.0
2006,Singapore,SGP,East Asia & Pacific,High income,
2006,Solomon Islands,SLB,East Asia & Pacific,Lower middle income,3.0
2006,Sierra Leone,SLE,Sub-Saharan Africa,Low income,2.5
2006,El Salvador,SLV,Latin America & Caribbean,Lower middle income,
2006,San Marino,SMR,Europe & Central Asia,High income,
2006,Somalia,SOM,Sub-Saharan Africa,Low income,
2006,Serbia,SRB,Europe & Central Asia,Upper middle income,2.5
2006,South Sudan,SSD,Sub-Saharan Africa,Low income,
2006,Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,3.5
2006,Suriname,SUR,Latin America & Caribbean,Upper middle income,
2006,Slovak Republic,SVK,Europe & Central Asia,High income,
2006,Slovenia,SVN,Europe & Central Asia,High income,
2006,Sweden,SWE,Europe & Central Asia,High income,
2006,Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,
2006,Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,
2006,Seychelles,SYC,Sub-Saharan Africa,High income,
2006,Syrian Arab Republic,SYR,Middle East & North Africa,Low income,
2006,Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,
2006,Chad,TCD,Sub-Saharan Africa,Low income,2.0
2006,Togo,TGO,Sub-Saharan Africa,Low income,2.0
2006,Thailand,THA,East Asia & Pacific,Upper middle income,
2006,Tajikistan,TJK,Europe & Central Asia,Lower middle income,2.0
2006,Turkmenistan,TKM,Europe & Central Asia,Upper middle income,
2006,Timor-Leste,TLS,East Asia & Pacific,Lower middle income,3.0
2006,Tonga,TON,East Asia & Pacific,Upper middle income,2.0
2006,Trinidad and Tobago,TTO,Latin America & Caribbean,High income,
2006,Tunisia,TUN,Middle East & North Africa,Lower middle income,
2006,Turkey,TUR,Europe & Central Asia,Upper middle income,
2006,Tuvalu,TUV,East Asia & Pacific,Upper middle income,
2006,Tanzania,TZA,Sub-Saharan Africa,Lower middle income,3.5
2006,Uganda,UGA,Sub-Saharan Africa,Low income,3.0
2006,Ukraine,UKR,Europe & Central Asia,Lower middle income,
2006,Uruguay,URY,Latin America & Caribbean,High income,
2006,United States,USA,North America,High income,
2006,Uzbekistan,UZB,Europe & Central Asia,Lower middle income,1.5
2006,St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,4.0
2006,"Venezuela, RB",VEN,Latin America & Caribbean,,
2006,British Virgin Islands,VGB,Latin America & Caribbean,High income,
2006,Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,
2006,Vietnam,VNM,East Asia & Pacific,Lower middle income,3.0
2006,Vanuatu,VUT,East Asia & Pacific,Lower middle income,3.0
2006,Samoa,WSM,East Asia & Pacific,Lower middle income,4.0
2006,Kosovo,XKX,Europe & Central Asia,Upper middle income,
2006,"Yemen, Rep.",YEM,Middle East & North Africa,Low income,3.0
2006,South Africa,ZAF,Sub-Saharan Africa,Upper middle income,
2006,Zambia,ZMB,Sub-Saharan Africa,Lower middle income,3.0
2006,Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,1.0
2007,Aruba,ABW,Latin America & Caribbean,High income,
2007,Afghanistan,AFG,South Asia,Low income,2.0
2007,Angola,AGO,Sub-Saharan Africa,Lower middle income,2.5
2007,Albania,ALB,Europe & Central Asia,Upper middle income,
2007,Andorra,AND,Europe & Central Asia,High income,
2007,United Arab Emirates,ARE,Middle East & North Africa,High income,
2007,Argentina,ARG,Latin America & Caribbean,Upper middle income,
2007,Armenia,ARM,Europe & Central Asia,Upper middle income,3.5
2007,American Samoa,ASM,East Asia & Pacific,Upper middle income,
2007,Antigua and Barbuda,ATG,Latin America & Caribbean,High income,
2007,Australia,AUS,East Asia & Pacific,High income,
2007,Austria,AUT,Europe & Central Asia,High income,
2007,Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2.5
2007,Burundi,BDI,Sub-Saharan Africa,Low income,2.0
2007,Belgium,BEL,Europe & Central Asia,High income,
